From	To
Q5J8X5	MS4A13
Q56UN5	MAP3K19
P49641	MAN2A2
O95299	NDUFA10
Q8WWC4	MAIP1
Q9P032	NDUFAF4
Q9ULX9	MAFF
A1L188	NDUFAF8
Q9UDY8	MALT1
P41279	MAP3K8
P80192	MAP3K9
Q9NQG1	MANBAL
P46821	MAP1B
O00339	MATN2
Q16048	PMCHL1
Q6ZNC8	MBOAT1
Q6VMQ6	ATF7IP
Q8N8R3	SLC25A29
O43462	MBTPS2
Q6ZSS7	MFSD6
P26572	MGAT1
Q8NBP5	MFSD9
Q86V88	MDP1
Q96A72	MAGOHB
Q8TCD5	NT5C
Q8WV92	MITD1
A8MYZ0	MINDY4B
Q8IVT2	MISP
P53778	MAPK12
P03891	MT-ND2
P31152	MAPK4
Q13164	MAPK7
Q8TD08	MAPK15
Q9NPJ1	MKKS
Q9UL63	MKLN1
P45984	MAPK9
Q9H000	MKRN2
Q13064	MKRN3
Q6NVV0	MKRN9P
H3BPM6	MKRN2OS
Q5HYA8	TMEM67
Q8IYA7	MKX
P21741	MDK
P03897	MT-ND3
Q96CX6	LRRC58
A6NDA9	LRIT2
Q8WV35	LRRC29
Q96JM4	LRRIQ1
Q8ND94	LRRN4CL
Q9P2V4	LRIT1
Q86VZ4	LRP11
Q8N9N7	LRRC57
Q96NW7	LRRC7
A4D1F6	LRRD1
O43300	LRRTM2
O15116	LSM1
Q9BVC4	MLST8
Q9NQ29	LUC7L
A0A087WSX0	IGLV5-45
P01721	IGLV6-57
A0A075B6I4	IGLV10-54
O75342	ALOX12B
O15296	ALOX15B
O96009	NAPSA
Q7Z4W2	LYZL2
Q16706	MAN2A1
Q96DS6	MS4A6E
Q5TCX8	MAP3K21
Q9Y2U5	MAP3K2
Q8N7X4	MAGEB6
P43356	MAGEA2
P43356	MAGEA2B
Q9UI09	NDUFA12
Q96T17	MAP7D2
Q3KP22	MAJIN
Q8TD91	MAGEC3
Q99558	MAP3K14
Q9BXY0	MAK16
Q6ZN16	MAP3K15
O43708	GSTZ1
Q9HCI5	MAGEE1
Q7Z304	MAMDC2
Q13495	MAMLD1
P21941	MATN1
Q7Z434	MAVS
